"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Inclusive Learner Model for Adaptive Recommendations in Virtual Education","C. Mejia; S. Gomez; L. Mancera; S. Taveneau","NA; NA; NA; NA","2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT)","","2017","","","79","80","Since last two decades virtual education has brought with it big challenges for higher education, which suppose having in mind the feasibility of delivering digital scenarios that adjusts to learner's characteristics. Thus, our first concern involves distinguishing heterogeneity of student's characteristics who can access this modal of education. Other issue to have in mind is to provide a Learning Management Systems (LMS) that can be adapted to student's characteristics from that diversity. This paper focuses on presenting a learner model with regards to educational special needs, in order to achieve some adaptation through an LMS. The model was built based on a particular data set identified in previous studies done, that include: demographics, competences, reading profile, learning styles, and cognitive traits [1]. The main objective of this model is to bring adaptive recommendations, provided through a LMS, aimed to higher education students with some learning difficulties, particularly those who have dyslexia or reading difficulties.","2161-377X","978-1-5386-3870-5978-1-5386-3871","10.1109/ICALT.2017.101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8001723","e-learning;learner model;inclusion;dyslexia;LMS","Adaptation models;Data models;Psychology;Predictive models;Learning management systems;Visualization","cognition;further education;learning management systems","inclusive learner model;adaptive recommendations;virtual education;digital scenarios;learning management systems;LMS;demographics;reading profile;learning styles;cognitive traits;competences;higher education students;dyslexia;reading difficulties","","1","8","","","","","IEEE","IEEE Conferences"
"Analyses of the Impact of Learning Styles and Strategies of Learners in Distance Education: Educational Issues into Digital Opportunities","A. Abazi; B. Fetaji; M. Fetaji","NA; NA; NA","2009 Second International Conference on Environmental and Computer Science","","2009","","","66","70","In order to assess and determine the general issues and barriers in online distance education this research focuses in assessing the impact of learners learning style and strategies and based on these results proposes solutions and recommendations. The data for this research was gathered from interviews with focus group and a web based survey of students, participants in online distance education courses. The main contribution of this study is the proposed DEVC methodology and recommendations in avoiding the assessed and evaluated barriers in distance education in regards with enhanced and lifelong learning.","","978-1-4244-5591-1978-1-4244-5590-4978-0-7695-3937","10.1109/ICECS.2009.72","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5383554","distance education;learning style;learning strategies","Distance learning;Bandwidth;Videoconference;Computer aided instruction;Education;Electronic learning;Communication channels;Codecs;Computer science;Educational technology","distance learning;educational technology;Internet","digital opportunities educational issue;online distance education;learners learning style;learners learning strategy;students Web based survey","","","2","","","","","IEEE","IEEE Conferences"
"E-learning reflecting individual learning styles","P. Poulová; M. Černá; Š. Ivana","University of Hradec Kralove, Czech Republic; University of Hradec Kralove, Czech Republic; University of Hradec Kralove, Czech Republic","2010 International Conference on Information Society","","2010","","","79","84","The efforts towards increasing the number of educated people should be prioritized in every society. Due to this influence university education has changed substantially but numerous problems still exist. Plenty of teachers implement into the instructional process self-study methods supported by information and communication technologies (ICT). Having undergone the initial period which was affected by suspicion, material and technical problems, the time of a new stage came to deal with didactic aspects of ICT implementation into the educational process.","","978-0-9564263-3-8978-1-4577-1823","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6018799","","Educational institutions;Materials;Electronic learning;Database systems;Least squares approximation;Informatics","computer aided instruction;educational institutions;psychology;unsupervised learning","e-learning;individual learning styles;educated people;society;university education;instructional process;self-study methods;information and communication technologies;ICT implementation","","1","13","","","","","IEEE","IEEE Conferences"
"Impact of lecturing with the tablet PC on students of different learning styles","M. Stickel","The Edward S. Rogers Sr. Department of Electrical and Computer Engineering, University of Toronto, Canada","2009 39th IEEE Frontiers in Education Conference","","2009","","","1","6","Using the tablet PC as a lecturing device offers the instructor a new set of tools upon which their teaching can be based. Since the general student body consists of many different types of learning styles, these new tools can provide a means to reach a wider range of students than the traditional blackboard-based lectures. However, as a first step towards assessing the effectiveness of the tablet PC as a teaching tool, it is important to determine if it is well received by students of all learning styles. It is the purpose of this paper to report on the impact of the tablet PC on the students in four different courses, which were given over a period of three semesters. This impact was measured through a survey which was completed by the students at the end of each term. Overall, the students in all courses (a total sample size of 280) were quite positive about the use of the tablet, with 56% of the students stating that ¿The technology of the tablet...greatly improves my learning experience.¿ It was found that there were no statistically significant differences in how the students of different learning styles responded to the use of the tablet PC. In fact, all learning style groups reacted quite positively to its introduction into the classroom. However, some results indicate that a large group of students have a preference towards a more active classroom. This shows that if the tablet PC is to be an effective means of teaching, its advantages must be leveraged to facilitate an active-learning environment.","0190-5848;2377-634X","978-1-4244-4715-2978-1-4244-4714","10.1109/FIE.2009.5350769","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5350769","Tablet PC;learning styles;technology in the classroom;student perceptions","Education;Switches;Strontium;Videos;Java;Animation;Web pages;Graphics;Feedback;Focusing","computer aided instruction;notebook computers","tablet PC lecture;lecturing device;student learning styles;active learning environment;student perception","","3","15","","","","","IEEE","IEEE Conferences"
"Effect of Learning Styles on Peer Assessment in an Agent-based Collaborative Learning Environment","C. H. Lan; S. Graf; K. R. Lai; Kinshuk","Yuan Ze University, Taiwan; Vienna University of Technology, Austria; Yuan Ze University, Taiwan; Athabasca University, Canada","Seventh IEEE International Conference on Advanced Learning Technologies (ICALT 2007)","","2007","","","421","423","In peer assessment, the awarding grades might not accurately reflect the students' achievement due to potential rating bias or individual abilities. The proposed methodology aims at aggregating students' ratings to reduce personal bias using agent negotiation. We consider individual learning styles of assessors into the negotiation process and show by an illustrative example and an experiment how the accuracy of assessment results can be improved through incorporating learning styles. The more accurate feedback provides students a better quality of assessment which enables them to reflect their effort and abilities.","2161-3761;2161-377X","0-7695-2916","10.1109/ICALT.2007.135","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4281052","","Collaborative work;Information security;Feedback;Building materials;Computer science;Educational institutions;Internet;Drives;Adaptive systems;Aggregates","computer aided instruction;groupware;multi-agent systems","learning styles;peer assessment;agent-based collaborative learning environment;potential rating bias;individual abilities;agent negotiation;negotiation process","","1","10","","","","","IEEE","IEEE Conferences"
"The Challenge of Feedback Personalization to Learning Styles in a Web-Based Learning System","E. Vasilyev; M. Pechenizkiy; S. Puuronen","University of Jyv&#228;skyl&#228;, Findland; NA; NA","Sixth IEEE International Conference on Advanced Learning Technologies (ICALT'06)","","2006","","","1143","1144","Feedback is information that is provided to a user to inform him/her about the result of his/her action and to motivate him/her to further interact with the system. In Web-based learning systems (WBLS), feedback is particularly important in test and evaluation tasks. The main objective of the paper is twofold: (I) to encourage WBLS designers and specialists to pay more attention to the problem of feedback adaptation, and (2) to analyze suggestions for feedback personalization to learning styles in a WBLS","2161-3761;2161-377X","0-7695-2632","10.1109/ICALT.2006.1652664","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652664","","Feedback;Learning systems;Navigation;System testing;Mood;Taxonomy;Delay effects;Adaptive systems","computer aided instruction;educational administrative data processing;Internet","feedback personalization;learning styles;Web-based learning system;feedback adaptation","","8","6","","","","","IEEE","IEEE Conferences"
"Work in Progress - Learning Styles and elearning, what is the Connection?","L. McNutt; M. Brennan","Head of School of Informatics and Engineering, Institute of Technology, Blanchardstown, Dublin, Ireland, larry.mcnutt@itb.ie; NA","Proceedings Frontiers in Education 35th Annual Conference","","2005","","","F1H","F1H","The purpose of this paper is to describe an experiment designed to explore the relationship between a student's learning style and their success in an online module. This paper will present these preliminary findings and describe how this information was then used to motivate the design of online module content using a variety of media to address the preferences of the auditory, kinesthetic and visual learner. A pre-test and post-test quasi experimental design is employed to establish the possible effectiveness of adapting to a learner's style. Each student prior to taking the online module is requested to complete a learning style questionnaire. Depending on their learning style each student will then be directed to a particular version of the module content designed to accommodate their preferred learning style. A pre-test post-test experiment will be used as one measure of their performance during the module. The students that will be involved in this experiment are those doing the Higher Diploma in Computing and those doing a Bachelor of Science in Computing. Their course will use a blended learning approach","0190-5848;2377-634X","0-7803-9077","10.1109/FIE.2005.1612037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1612037","Modality;elearning;Modules;Module Content","Electronic learning;Adaptive systems;Management training;Educational institutions;Informatics;Design engineering;Companies;Design for experiments;IP networks;Web sites","computer aided instruction;computer science education;educational courses;Internet;student experiments","e-learning;learning styles;online module;quasi experimental design;higher diploma;bachelor of science in computing","","2","12","","","","","IEEE","IEEE Conferences"
"A Study of the Reliability and Validity of Felder-Soloman Index of Learning Styles in Mandarin Version","J. Wang; T. Mendori","NA; NA","2015 IIAI 4th International Congress on Advanced Applied Informatics","","2015","","","370","373","This paper offers a contribution to the validation work on the ILS instrument based on the author's study of the relationship between learning styles and learning performances in a language learning support system. An analysis on 198 valid questionnaires, collected from Chinese-native undergraduate students in responds to a Mandarin translation of Felder-Solo man Index of Learning Styles, are discussed. The discussion includes internal reliability, inter-scale correlation and construct validity. In the terms of construct validity, the trends of learning style preferences with respect to gender and the field of study are investigated.","","978-1-4799-9958-3978-1-4799-9957","10.1109/IIAI-AAI.2015.284","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7373934","Felder-Soloman learning style;Index of Learning Styles;internal Consistency;gender;engineering students","Correlation;Reliability;Visualization;Sensors;Engineering students;Instruments","learning management systems;linguistics;natural language processing;reliability","Felder-Soloman index validity;Mandarin version;learning style;reliability;ILS instrument;language learning support system","","1","20","","","","","IEEE","IEEE Conferences"
"Learning styles and achievement of engineering students","P. K. Tulsi; M. P. Poonia; Anupriya","National Institute of Technical Teachers Training & Research, Chandigarh (India); National Institute of Technical Teachers Training & Research, Chandigarh (India); National Institute of Technical Teachers Training & Research, Chandigarh (India)","2016 IEEE Global Engineering Education Conference (EDUCON)","","2016","","","192","196","The study was undertaken to determine the learning styles of students pursuing master's degree programmes in engineering and study the differences in the achievement at graduation level of students with different learning styles. Index of Learning Style was administered to 175 students. The findings revealed that there exist differences in learning styles of students pursuing master's degree in computer science and engineering, civil engineering, electrical engineering, electronics and communication engineering and mechanical engineering. Majority of the students of various branches except mechanical engineering prefer active, sensing, visual and sequential learning styles but very few of them have strong preference for a particular learning style. However, no significant differences were found between the mean achievement scores of students with varied learning styles.","2165-9567","978-1-4673-8633-3978-1-4673-8632","10.1109/EDUCON.2016.7474552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474552","Learning styles;Achievement;Engineering students","Sensors;Mechanical engineering;Visualization;Engineering students;Civil engineering;Computer science;Electrical engineering","behavioural sciences computing;engineering computing;engineering education;further education","learning achievement;engineering students;master degree programmes;graduation level students;learning style index;computer science and engineering;civil engineering;electrical engineering;electronics and communication engineering;mechanical engineering;active learning styles;sensing learning styles;visual learning styles;sequential learning styles","","2","30","","","","","IEEE","IEEE Conferences"
"Dynamic User Modeling and Adaptation Based on Learning Styles for Supporting Semi-Automatic Generation of IMS Learning Design","S. Baldiris; S. Graf; R. Fabregat","NA; NA; NA","2011 IEEE 11th International Conference on Advanced Learning Technologies","","2011","","","218","220","In the context of virtual learning environments, it is difficult to find proposals addressing both problems at the same time, user modeling and adaptation processes based on learning styles. In particular, for the teachers, these processes require huge amounts of time and effort in the course construction, which most of the times is not recognized by the educational institutions. The main issue discussed in this paper is the creation of a dynamic user model based on learning styles (LS) to enrich and to support the automatic generation of an adaptive IMS learning design (LD) in order to reduce the amount of time and efforts for teachers providing learners with personalized learning experiences.","2161-377X;2161-3761;2161-3761","978-1-61284-209-7978-0-7695-4346","10.1109/ICALT.2011.70","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5992306","learning style;learning design;dynamic user modeling;adaptation process;learning environment","Adaptation models;Planning;Adaptive systems;Least squares approximation;Conferences;Education;Analytical models","computer aided instruction;educational institutions;middleware","dynamic user modeling;learning style based adaptation process;semiautomatic adaptive IMS learning design;virtual learning environments;educational institutions;learning management systems;middleware approach","","5","12","","","","","IEEE","IEEE Conferences"
"Improvement of Learning Styles Diagnosis Based on Outliers Reduction of User Interface Behaviors","T. B. Yoon; M. A. Choi; E. Wang; J. H. Lee; Y. S. Kim","NA; NA; NA; NA; NA","Ninth IEEE International Symposium on Multimedia Workshops (ISMW 2007)","","2007","","","497","503","A learning diagnosis system collects data from a learner's learning process, and analyzes it to build a suitable model for the learner, which can then be incorporated into an intelligent tutoring system to provide customized tutoring services. However, if the collected data reflects inconsistent learner behaviors or unpredictable learning tendencies, then the reliability of the learner model is degraded. In this paper, the outliers in the learner's data are eliminated by a k-NN method. We apply this method to an experimental data set obtained using DOLLS-HI, a learner diagnosis system that uses housing interior learning contents to diagnose learning styles. The resulting diagnosis model shows improved reliability than before eliminating the outliers.","","0-7695-3084","10.1109/ISM.Workshops.2007.89","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4476018","","User interfaces;Intelligent systems;Predictive models;Degradation;Psychology;Time factors;Multimedia systems;Conferences;Data engineering;Design engineering","","","","1","10","","","","","IEEE","IEEE Conferences"
